"""  title""  ";" "" beschrijving"" "
"""  Gent: Sluizeken, bouwaanvraag van Frans Jacques Mertens, 1726""  ";" "" Bouwheer: Mertens, Frans Jacques."" "
"""  Gent: Sluizeken, bouwaanvraag van erfgenamen van Frans Coppens, 1740""  ";" "" Bouwheer: Coppens, Frans erfgenamen."" "
"""  Gent: Sluizeken, bouwaanvraag van Jaecques Theodor van Hulthem, 1752""  ";" "" Bouwheer: van Hulthem, Jaecques Theodor."" "
"""  Gent: Sleutelstraat (verdwenen straat naar de - ook verdwenen - Grijsberg, tussen Brabantdam en Vlaanderenstraat), bouwaanvraag van Joannes Baptiste, 1778""  ";" "" Bouwheer: Mussche, Joannes Baptiste."" "
"""  Gent: Sluizeken (Sluizekenkaai), bouwaanvraag van Nicolas Hebbelinck, 1722""  ";" "" Bouwheer: Hebbelinck, Nicolas."" "
"""  Gent: Slekstraatje (verdwenen waterstraatje, zijstraat van Tussen 't Pas), bouwaanvraag van Emanuel Migom, 1792""  ";" "" Bouwheer: Migom, Emanuel."" "
"""  Gent: Sleutelbrug (verdwenen brug over de Schipgracht, tussen Lange Steenstraat en Grauwpoort), bouwaanvraag van Clercq, 1751""  ";" "" Bouwheer: Clercq."" "
"""  Gent: Sint-Widostraat, bouwaanvraag van Daneel van Duyn, 1749""  ";" "" Bouwheer: van Duyn, Daneel."" "
"""  Gent: Sint-Widostraat, bouwaanvraag van Pieter de Graeve, 1770""  ";" "" Bouwheer: de Graeve, Pieter."" "
"""  Gent: Sint-Widostraat, bouwaanvraag van Pieter Joannes de Bruijne, 1772""  ";" "" Bouwheer: de Bruijne, Pieter Joannes."" "
"""  Gent: Sint-Veerleplein, bouwaanvraag van de Kraankindersnering, 1782""  ";" "" Bouwheer: Kraankindersnering en Stobbelaere, Gaspaerd."" "
"""  Gent: Sint-Widostraat, bouwaanvraag van Judocus Joannes Mallepert, 1724""  ";" "" Bouwheer: Mallepert, Judocus Joannes."" "
"""  Gent: Sint-Veerleplein, bouwaanvraag van de Sint-Veerlekapittel, 1737""  ";" "" Bouwheer: Sint-Veerlekapittel."" "
"""  Gent: Sint-Veerleplein, bouwaanvraag van Pieter Verhegghe, 1770""  ";" "" Bouwheer: Verhegghe, Pieter."" "
"""  Gent: Sint-Salvatorstraat, bouwaanvraag van Joannes van de Steene, 1785""  ";" "" Bouwheer: van de Steene, Joannes."" "
"""  Gent: Sint-Salvatorstraat, bouwaanvraag van Joannes van Paemel, 1785""  ";" "" Bouwheer: van Paemel, Joannes."" "
"""  Gent: Sint-Salvatorstraat, bouwaanvraag van Pieter Gauthier, 1768""  ";" "" Bouwheer: Gauthier, Pieter."" "
"""  Gent: Sint-Salvatorstraat, bouwaanvraag van Pieter van Overwaele, 1775""  ";" "" Bouwheer: van Overwaele, Pieter."" "
"""  Gent: Sint-Salvatorstraat, bouwaanvraag van Pieter Gauthier, 1779""  ";" "" Bouwheer: Gauthier, Pieter."" "
"""  Gent: Sint-Salvatorstraat, bouwaanvraag van Martinus Dheuvel, 1739""  ";" "" Bouwheer: Dheuvel, Martinus."" "
"""  Gent: Sint-Salvatorstraat, bouwaanvraag van Joannes van de Cappelle, 1762""  ";" "" Bouwheer: van de Cappelle, Joannes."" "
"""  Gent: Sint-Salvatorstraat, bouwaanvraag van Louijs vander Beke, 1713""  ";" "" Bouwheer: vander Beke, Louijs."" "
"""  Gent: Sint-Salvatorstraat, bouwaanvraag van Guillaume de Wulf, 1725""  ";" "" Bouwheer: de Wulf, Guillaume."" "
"""  Gent: Sint-Salvatorstraat, bouwaanvraag van Pieter van Overwaele, 1726""  ";" "" Bouwheer: van Overwaele, Pieter."" "
