"""  title""  ";" "" beschrijving"" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Joannes Dekens, 1782""  ";" "" Bouwheer: Dekens, Joannes."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Joannes Baeijens, 1787""  ";" "" Bouwheer: Baeijens, Joannes."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Pieter Munchen, 1779""  ";" "" Bouwheer: Munchen, Pieter."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Anthone Bosquillon, 1780""  ";" "" Bouwheer: Bosquillon, Anthone."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Frans Hebbelinck, 1768""  ";" "" Bouwheer: Hebbelinck, Frans."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Lucas Thijs, 1771""  ";" "" Bouwheer: Thijs, Lucas."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Pieter Schamp, 1774""  ";" "" Bouwheer: Schamp, Pieter."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Augustinus Portois, 1767""  ";" "" Bouwheer: Portois, Augustinus."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van baron Jan Baptiste Francois Dheems, 1768""  ";" "" Bouwheer: Dheems, Jan Baptiste Francois, baron."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Augustinus Portois, 1759""  ";" "" Bouwheer: Portois, Augustinus."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Joannes Heijndricx, 1760""  ";" "" Bouwheer: Heijndricx, Joannes."" "
"""  Gent: Sint-Jacobsnieuwstraat en Spiegelstraat (nu Kwaadham), bouwaanvraag van David 't Kindt, 1761""  ";" "" Bouwheer: 't Kindt, David."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Augustinus Portois, 1749""  ";" "" Bouwheer: Portois, Augustinus."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Dionisius vander Haeghen, 1734""  ";" "" Bouwheer: vander Haeghen, Dionisius."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Gautier Coene, 1739""  ";" "" Bouwheer: Coene, Gautier."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van David 't Kindt, 1749""  ";" "" Bouwheer: 't Kindt, David."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Gautier Coene, 1720""  ";" "" Bouwheer: Coene, Gautier."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Gillis Hertschap en Jan Dregghe, 1724""  ";" "" Bouwheer: Hertschap, Gillis Dregghe, Jan."""
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Abraham Stalins, 1716""  ";" "" Bouwheer: Stalins, Abraham. "" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Gautier Coene, 1717""  ";" "" Bouwheer: Coene, Gautier."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Michiel Portois, 1698""  ";" "" Bouwheer: Portois, Michiel."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Livinus van de Velde, 1713""  ";" "" Bouwheer: van de Velde, Livinus."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Maximiliaen le Routtan, 1685""  ";" "" Bouwheer: le Routtan, Maximiliaen."" "
"""  Gent: Sint-Jacobsnieuwstraat, bouwaanvraag van Adriaen de Smedt, 1698""  ";" "" Bouwheer: de Smedt, Adriaen."" "
"""  Gent: Sint-Antoniuskaai, bouwaanvraag van Ghelain vander Motte, 1690""  ";" "" Bouwheer: vander Motte, Ghelain."" "
"""  Gent: Sint-Antoniuskaai, bouwaanvraag van Pieter Heijnsbrouck, 1720""  ";" "" Bouwheer: Heijnsbrouck, Pieter."" "
"""  Gent: Serpentstraat, bouwaanvraag van Livinus Pieter Neerman, 1784""  ";" "" Bouwheer: Neerman, Livinus Pieter."" "
"""  Gent: Sint-Annastraat, bouwaanvraag van weduwe Nuytens, 1782""  ";" "" Bouwheer: Nuytens, weduwe."" "
"""  Gent: Serpentstraat, bouwaanvraag van Joannes vander Bilt, 1737""  ";" "" Bouwheer: vander Bilt, Joannes."" "
"""  Gent: Serpentstraat, bouwaanvraag van Pieter Velge, 1750""  ";" "" Bouwheer: Velge, Pieter."" "
"""  Gent: Serpentstraat, bouwaanvraag van Jacques Dhont, 1770""  ";" "" Bouwheer: Dhont, Jacques."" "
"""  Gent: Serpentstraat, bouwaanvraag van Pieter Tucschaep, 1728""  ";" "" Bouwheer: Tucschaep, Pieter."" "
"""  Gent: Serpentstraat, bouwaanvraag van Jan Baptiste Vlamijnck, 1731""  ";" "" Bouwheer: Vlamijnck, Jan Baptiste."" "
"""  Gent: Serpentstraat, bouwaanvraag van Ignatius Wittock, 1708""  ";" "" Bouwheer: Wittock, Ignatius."" "
"""  Gent: Serpentstraat, bouwaanvraag van Paulus vander Bilt, 1719""  ";" "" Bouwheer: vander Bilt, Paulus."" "
"""  Gent: Seminariestraat (nu Biezekapelstraat), bouwaanvraag van Della Faille, 1780""  ";" "" Bouwheer: Della Faille."" "
"""  Gent: Seminariestraat (nu Biezekapelstraat), bouwaanvraag van Judocus Veirman, 1786""  ";" "" Bouwheer: Veirman, Judocus."" "
"""  Gent: Seminariestraat (nu Biezekapelstraat), bouwaanvraag van Josepha Xaveria Vermotte, 1788""  ";" "" Bouwheer: Vermotte, Josepha Xaveria."" "
"""  Gent: Seminariestraat (nu Biezekapelstraat), bouwaanvraag van Pieter van Laerebeke, 1779""  ";" "" Bouwheer: van Laerebeke, Pieter."" "
"""  Gent: Seminariestraat (nu Biezekapelstraat), bouwaanvraag van Joannes Bedens, 1779""  ";" "" Bouwheer: Bedens, Joannes."" "
"""  Gent: Schuurkenstraat, bouwaanvraag van Jacques Theodor, 1781""  ";" "" Bouwheer: de Meersman, Jacques Theodor."" "
"""  Gent: Seminariestraat (nu Biezekapelstraat), bouwaanvraag van Francies Hertschap, 1770""  ";" "" Bouwheer: Hertschap, Francies."" "
"""  Gent: Seminariestraat (nu Biezekapelstraat), bouwaanvraag van Jacobus Clemens, 1778""  ";" "" Bouwheer: Clemens, Jacobus."" "
"""  Gent: Schuurkenstraat, bouwaanvraag van Franchois Joan Baptiste Baut, 1764""  ";" "" Bouwheer: Baut, Franchois Joan Baptiste."" "
"""  Gent: Schuurkenstraat, bouwaanvraag van weduwe Hellebaut, 1776""  ";" "" Bouwheer: Hellebaut, weduwe."" "
"""  Gent: Schouwvegersstraat, bouwaanvraag van Jaecques Bernardt Coppieters, 1726""  ";" "" Bouwheer: Coppieters, Jaecques Bernardt."" "
"""  Gent: Schouwvegersstraat, bouwaanvraag van Michiel van Eyteryck, 1792""  ";" "" Bouwheer: van Eyteryck, Michiel."" "
"""  Gent: Schuddeveestraatje, bouwaanvraag van Anthone vander Straeten, 1714""  ";" "" Bouwheer: vander Straeten, Anthone."" "
"""  Gent: Schouwvegersstraat, bouwaanvraag van Jan de Mangeleere, 1709""  ";" "" Bouwheer: de Mangeleere, Jan."" "
"""  Gent: Schouwvegersstraat, bouwaanvraag van Jan Claeye, 1725""  ";" "" Bouwheer: Claeye, Jan."" "
"""  Gent: Schokkebroersvest (verdwenen straatje tussen Poel en Watergraafstraat), bouwaanvraag van Pieter de Coninck, 1733""  ";" "" Bouwheer: de Coninck, Pieter."" "
"""  Gent: Schouwvegersstraat, bouwaanvraag van Maximiliaen Frans Damman, 1705""  ";" "" Bouwheer: Damman, Maximiliaen Frans."" "
"""  Gent: Schipgracht (deels behouden als Lange Schipgracht), bouwaanvraag van Joseph Bekemans, 1778""  ";" "" Bouwheer: Bekemans, Joseph."" "
"""  Gent: Schokkebroersvest (verdwenen straatje tussen Poel en Watergraafstraat), bouwaanvraag van het Alexianenklooster, 1703""  ";" "" Bouwheer: Alexianenklooster."" "
"""  Gent: Schokkebroersvest (verdwenen straatje tussen Poel en Watergraafstraat), bouwaanvraag van het Alexianenklooster, 1723""  ";" "" Bouwheer: Alexianenklooster. De aanvraag is ingediend door Adriaen Brant."" "
"""  Gent: Schepenhuisstraat, bouwaanvraag van Joannes Delbecq, 1783""  ";" "" Bouwheer: Delbecq, Joannes. Enkel de bouwtekening is bewaard, de aanvraag zelf niet."" "
"""  Gent: Schipgracht (deels behouden als Lange Schipgracht), bouwaanvraag van Jan vanden Eechaute, 1700""  ";" "" Bouwheer: vanden Eechaute, Jan."" "
"""  Gent: Schepenhuisstraat, bouwaanvraag van Jan Rijckaert, 1767""  ";" "" Bouwheer: Rijckaert, Jan."" "
"""  Gent: Schepenhuisstraat, bouwaanvraag van Joseph Albert Calonne, 1773""  ";" "" Bouwheer: Calonne, Joseph Albert."" "
"""  Gent: Schepenhuisstraat, bouwaanvraag van weduwe Louys van Hecke, 1774""  ";" "" Bouwheer: van Hecke, Louys weduwe."" "
"""  Gent: Schepenhuisstraat, bouwaanvraag van anoniem, 1751""  ";" "" Bouwheer: anoniem. Enkel de bouwtekening is bewaard, de aanvraag zelf niet."" "
"""  Gent: Schepenhuisstraat, bouwaanvraag van Pieter Casier en Anthone Casier, 1758""  ";" "" Bouwheer: Casier, Pieter Casier, Anthone."""
"""  Gent: Savaanstraat, bouwaanvraag van anoniem, circa 1700""  ";" "" Bouwheer: anoniem."" "
"""  Gent: Schepenhuisstraat, bouwaanvraag van Jan (jr.) vander Meulen, 1716""  ";" "" Bouwheer: vander Meulen, Jan (jr.)."" "
"""  Gent: Schepenhuisstraat, bouwaanvraag van Jan Baptiste de Febure, 1750""  ";" "" Bouwheer: de Febure, Jan Baptiste."" "
"""  Gent: Savaanstraat, bouwaanvraag van Pieter de Somer, 1780""  ";" "" Bouwheer: de Somer, Pieter."" "
"""  Gent: Savaanstraat, bouwaanvraag van J. Blancquaert van Tieghem, 1793""  ";" "" Bouwheer: Blancquaert van Tieghem, J."" "
"""  Gent: Savaanstraat, bouwaanvraag van Jan Scaillet, 1743""  ";" "" Bouwheer: Scaillet, Jan."" "
"""  Gent: Savaanstraat, bouwaanvraag van weduwe Verbeke, 1778""  ";" "" Bouwheer: Verbeke, weduwe."" "
"""  Gent: Sassevaart, bouwaanvraag van Jan de Buck, 1741""  ";" "" Bouwheer: de Buck, Jan."" "
"""  Gent: Savaanstraat, bouwaanvraag van Reynier de Buck, 1695""  ";" "" Bouwheer: de Buck, Reynier."" "
"""  Gent: Savaanstraat, bouwaanvraag van Jan Hudson, 1713""  ";" "" Bouwheer: Hudson, Jan."" "
"""  Gent: Saghermansstraat, bouwaanvraag van Frans Manet, 1761""  ";" "" Bouwheer: Manet, Frans."" "
"""  Gent: Sassekaai, bouwaanvraag van Assenede burgemeester, 1783""  ";" "" Bouwheer: Assenede burgemeester."" "
"""  Gent: Rozemarijnstraat, bouwaanvraag van Carolus Dewindt, 1782""  ";" "" Bouwheer: Dewindt, Carolus."" "
"""  Gent: Saghermansstraat, bouwaanvraag van Anthone Allegambe, 1705""  ";" "" Bouwheer: Allegambe, Anthone."" "
"""  Gent: Saghermansstraat, bouwaanvraag van burggraaf Hubert Francois Pieter Nieuwlant, 1759""  ";" "" Bouwheer: Nieuwlant, Hubert Francois Pieter, burggraaf."" "
"""  Gent: Rozelaarstraat, bouwaanvraag van baron de Roubaix de Soussy, 1762""  ";" "" Bouwheer: de Roubaix de Soussy, baron."" "
"""  Gent: Rozelaarstraat, bouwaanvraag van Pieter Casier, 1786""  ";" "" Bouwheer: Casier, Pieter."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Jacobus Soarmuer, 1787""  ";" "" Bouwheer: Soarmuer, Jacobus."" "
"""  Gent: Rozelaarstraat, bouwaanvraag van baron de Roubaix de Soussy 1762""  ";" "" Bouwheer: de Roubaix de Soussy, baron."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Judocus Fermont, 1776""  ";" "" Bouwheer: Fermont, Judocus."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Jan Francois Goossens, 1780""  ";" "" Bouwheer: Goossens, Jan Francois."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van de Schijtere, 1772""  ";" "" Bouwheer: de Schuijtere."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van de Vilder, 1772""  ";" "" Bouwheer: de Vilder."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Jacques Eggermont, 1769""  ";" "" Bouwheer: Eggermont, Jacques."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Philippe Joan vanden Bossche, 1770""  ";" "" Bouwheer: vanden Bossche, Philippe Joan."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van de gouverneurs van de Armenkamer, 1772""  ";" "" Bouwheer: gouverneurs van de Armenkamer."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Jacques de Brauwer, 1765""  ";" "" Bouwheer: de Brauwer, Jacques."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van de Clerque, 1766""  ";" "" Bouwheer: de Clerque."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Pieter de Smet, 1756""  ";" "" Bouwheer: de Smet, Pieter."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van weduwe Gillis Sonneville, 1757""  ";" "" Bouwheer: Sonneville, Gillis weduwe."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van weduwe Jan Baptiste vanden Berghe, 1757""  ";" "" Bouwheer: vanden Berghe, Jan Baptiste weduwe."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Francois Joseph Moreeuw, 1745""  ";" "" Bouwheer: Moreeuw, Francois Joseph."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Jan Myte, 1745""  ";" "" Bouwheer: Myte, Jan."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Joannes Claus, 1730""  ";" "" Bouwheer: Claus, Joannes."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Rogier (sr.) Bogaert, 1733""  ";" "" Bouwheer: Bogaert, Rogier (sr.)."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van weduwe Olivier de Meyere, 1739""  ";" "" Bouwheer: de Meyere, Olivier weduwe."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Jan Baptiste vanden Bossche 1725""  ";" "" Bouwheer: vanden Bossche, Jan Baptiste."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Medardus de Clerque, 1728""  ";" "" Bouwheer: de Clerque, Medardus."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Jan Volckaert, 1671""  ";" "" Bouwheer: Volckaert, Jan."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van anoniem, zonder datum""  ";" "" Bouwheer: anoniem. Enkel de bouwtekening (van omstreeks 1700) is bewaard, de aanvraag zelf niet."" "
"""  Gent: Roskamstraat (nu Nederkwaadham), bouwaanvraag van Jan Baptiste vanden Bossche, 1718""  ";" "" Bouwheer: vanden Bossche, Jan Baptiste."" "
"""  Gent: Rooigem, bouwaanvraag van Frans de Vos, 1783""  ";" "" Bouwheer: de Vos, Frans."" "
"""  Gent: Rodelijvekensstraat, bouwaanvraag van Francies Bruynbroeck, 1787""  ";" "" Bouwheer: Bruynbroeck, Francies."" "
"""  Gent: Rodelijvekensstraat, bouwaanvraag van Cornelis de Tollenaere en Verstraeten, 1787""  ";" "" Bouwheer: de Tollenaere, Cornelis Verstraeten."""
"""  Gent: Rodelijvekensstraat, bouwaanvraag van Joseph Cleophas de Witte, 1789""  ";" "" Bouwheer: de Witte, Joseph Cleophas."" "
"""  Gent: Rodelijvekensstraat, bouwaanvraag van de gouverneurs van de Armenkamer, 1784""  ";" "" Bouwheer: gouverneurs van de Armenkamer."" "
"""  Gent: Rodelijvekensstraat, bouwaanvraag van Joannes Caluwe, 1782""  ";" "" Bouwheer: Caluwe, Joannes."" "
"""  Gent: Rodelijvekensstraat, bouwaanvraag van Adriaen van Cottem, 1783""  ";" "" Bouwheer: van Cottem, Adriaen."" "
"""  Gent: Rodelijvekensstraat, bouwaanvraag van Pieter Minne, 1783""  ";" "" Bouwheer: Minne, Pieter."" "
"""  Gent: Rodelijvekensstraat, bouwaanvraag van vander Cruycen, 1782""  ";" "" Bouwheer: vander Cruycen."" "
"""  Gent: Rodelijvekensstraat, bouwaanvraag van Francois de Naeyer, 1782""  ";" "" Bouwheer: de Naeyer, Francois."" "
"""  Gent: Rodelijvekensstraat, bouwaanvraag van Gillis Meersone, 1707""  ";" "" Bouwheer: Meersone, Gillis."" "
"""  Gent: Rodelijvekensstraat, bouwaanvraag van het Kartuizersklooster, 1724""  ";" "" Bouwheer: Kartuizersklooster."" "
"""  Gent: Rodelijvekensstraat, bouwaanvraag van Jan Nuytens, 1724""  ";" "" Bouwheer: Nuytens, Jan."" "
"""  Gent: Rodeleeuwstraat, bouwaanvraag van Jan Baptiste III Coolman, 1786""  ";" "" Bouwheer: Coolman, Jan Baptiste III."" "
"""  Gent: Rodeleeuwstraat, bouwaanvraag van Pieter Helias, 1728""  ";" "" Bouwheer: Helias, Pieter."" "
"""  Gent: Rodeleeuwstraat, bouwaanvraag van Marie Uytherwulge en Barbara Uytherwulge, 1733""  ";" "" Bouwheer: Uytherwulge, Marie Uytherwulge, Barbara."""
"""  Gent: Rodeleeuwstraat, bouwaanvraag van Guillaume Frans Telliers, 1774""  ";" "" Bouwheer: Telliers, Guillaume Frans."" "
"""  Gent: Rodekoningstraat, bouwaanvraag van Cornelis vanden Berghe, 1780""  ";" "" Bouwheer: vanden Berghe, Cornelis."" "
"""  Gent: Rodeleeuwstraat, bouwaanvraag van Gheeraert de Jonckhere, 1726""  ";" "" Bouwheer: de Jonckhere, Gheeraert."" "
"""  Gent: Rodekoningstraat, bouwaanvraag van Lucas Frans Jacopssen, 1753""  ";" "" Bouwheer: Jacopssen, Lucas Frans."" "
"""  Gent: Rodekoningstraat, bouwaanvraag van weduwe Anthone de Stobbeleere, 1778""  ";" "" Bouwheer: de Stobbeleere, Anthone weduwe."" "
"""  Gent: Rodekoningstraat, bouwaanvraag van Pieter de Meyer, 1779""  ";" "" Bouwheer: de Meyer, Pieter."" "
"""  Gent: Rodekoningstraat, bouwaanvraag van Jan (sr.) Inghels, 1714""  ";" "" Bouwheer: Inghels, Jan (sr.)."" "
"""  Gent: Rodekoningstraat, bouwaanvraag van Frans Wilays, 1722""  ";" "" Bouwheer: Wilays, Frans."" "
"""  Gent: Ridderstraat, bouwaanvraag van het Urselinenklooster, 1732""  ";" "" Bouwheer: Urselinenklooster."" "
"""  Gent: Ridderstraat, bouwaanvraag van het Urselinenklooster, 1754""  ";" "" Bouwheer: Urselinenklooster."" "
"""  Gent: Ridderstraat, bouwaanvraag van het Urselinenklooster, 1757""  ";" "" Bouwheer: Urselinenklooster."" "
"""  Gent: Rekelingestraat, bouwaanvraag van Pieter van Loo, 1715""  ";" "" Bouwheer: van Loo, Pieter."" "
"""  Gent: Ridderstraat, bouwaanvraag van het Urselinenklooster, 1721""  ";" "" Bouwheer: Urselinenklooster."" "
"""  Gent: Regnessestraat (verdwenen, nu opgenomen in het Sint-Baafsplein), bouwaanvraag van Adriaen van de Cappelle, 1775""  ";" "" Bouwheer: van de Cappelle, Adriaen."" "
"""  Gent: Regnessestraat (verdwenen, nu opgenomen in het Sint-Baafsplein), bouwaanvraag van Demanne, 1782""  ";" "" Bouwheer: Demanne."" "
"""  Gent: Reep, bouwaanvraag van Josephus van Risseghem, 1784""  ";" "" Bouwheer: van Risseghem, Josephus."" "
"""  Gent: Reep, bouwaanvraag van Cornelis Della Faille, 1785""  ";" "" Bouwheer: Della Faille, Cornelis."" "
"""  Gent: Reep, bouwaanvraag van Joannes Portois, 1780""  ";" "" Bouwheer: Portois, Joannes."" "
"""  Gent: Reep, bouwaanvraag van Gillis Wijngaert, 1784""  ";" "" Bouwheer: Wijngaert, Gillis."" "
"""  Gent: Reep, bouwaanvraag van het Capucinessenklooster, 1777""  ";" "" Bouwheer: Capucinessenklooster."" "
"""  Gent: Reep, bouwaanvraag van Francies Judocus Ronse, 1778""  ";" "" Bouwheer: Ronse, Francies Judocus."" "
"""  Gent: Reep, bouwaanvraag van Joannes de Keuckeleere, 1779""  ";" "" Bouwheer: de Keuckeleere, Joannes."" "
"""  Gent: Reep, bouwaanvraag van Judocus Martens, 1777""  ";" "" Bouwheer: Martens, Judocus."" "
"""  Gent: Reep, bouwaanvraag van het Capucinessenklooster, 1777""  ";" "" Bouwheer: Capucinessenklooster."" "
"""  Gent: Reep, bouwaanvraag van Francies Judocus Ronse, 1762""  ";" "" Bouwheer: Ronse, Francies Judocus."" "
"""  Gent: Reep, bouwaanvraag van weduwe Bauwens, 1768""  ";" "" Bouwheer: Bauwens, weduwe."" "
"""  Gent: Reep, bouwaanvraag van Judocus Joannes van der Vennet, 1770""  ";" "" Bouwheer: van der Vennet, Judocus Joannes."" "
"""  Gent: Reep, bouwaanvraag van Geerardus van Eersel, 1758""  ";" "" Bouwheer: van Eersel, Geerardus."" "
"""  Gent: Reep, bouwaanvraag van Joannes Verburght, 1758""  ";" "" Bouwheer: Verburght, Joannes."" "
"""  Gent: Reep, bouwaanvraag van Geerardus van Eersel, 1746""  ";" "" Bouwheer: van Eersel, Geerardus."" "
"""  Gent: Reep, bouwaanvraag van Joannes Portois, 1754""  ";" "" Bouwheer: Portois, Joannes."" "
"""  Gent: Reep, bouwaanvraag van weduwe Joannes Fortergill, 1754""  ";" "" Bouwheer: Fortergill, Joannes weduwe."" "
"""  Gent: Reep, bouwaanvraag van Franchois Coene, 1731""  ";" "" Bouwheer: Coene, Franchois."" "
"""  Gent: Reep, bouwaanvraag van Marie Cent, 1739""  ";" "" Bouwheer: Cent, Marie."" "
"""  Gent: Reep, bouwaanvraag van Ludovicus Kimpe, 1718""  ";" "" Bouwheer: Kimpe, Ludovicus."" "
"""  Gent: Reep, bouwaanvraag van Olivier de Meyere, 1720""  ";" "" Bouwheer: de Meyere, Olivier."" "
"""  Gent: Reep, bouwaanvraag van Joannes vander Meersch, 1722""  ";" "" Bouwheer: vander Meersch, Joannes."" "
"""  Gent: Recollettenlei, bouwaanvraag van Thomas Livinus van de Velde, 1779""  ";" "" Bouwheer: van de Velde, Thomas Livinus."" "
"""  Gent: Reep, bouwaanvraag van Baudewyn Cnudde, 1718""  ";" "" Bouwheer: Cnudde, Baudewyn."" "
"""  Gent: Recollettenlei, bouwaanvraag van Jan Baptiste Cardon, 1769""  ";" "" Bouwheer: Cardon, Jan Baptiste."" "
"""  Gent: Recollettenlei, bouwaanvraag van Bernard Speelman, 1778""  ";" "" Bouwheer: Speelman, Bernard."" "
"""  Gent: Recollettenlei, bouwaanvraag van Beernaert Grenier, 1738""  ";" "" Bouwheer: Grenier, Beernaert."" "
"""  Gent: Recollettenlei, bouwaanvraag van Daniel Grenier, 1766""  ";" "" Bouwheer: Grenier, Daniel."" "
"""  Gent: Recollettenbrug, bouwaanvraag van Jan François Albert de Causemaecker, 1783""  ";" "" Bouwheer: de Causemaecker, Jan François Albert."" "
"""  Gent: Recollettenlei, bouwaanvraag van Joseph Ignace Stalins, 1729""  ";" "" Bouwheer: Stalins, Joseph Ignace."" "
"""  Gent: Recollettenlei, bouwaanvraag van Bernardus de Wilde, 1738""  ";" "" Bouwheer: de Wilde, Bernardus."" "
"""  Gent: Recollettenbrug, bouwaanvraag van Augustinus Neyt, 1771""  ";" "" Bouwheer: Neyt, Augustinus. OA_535_251_02 en OA_535_251_03 vormen samen één dossier."" "
"""  Gent: Recollettenbrug, bouwaanvraag van Thomas Livinus van de Velde, 1779""  ";" "" Bouwheer: van de Velde, Thomas Livinus. OA_535_251_02 en OA_535_251_03 vormen samen één dossier."" "
"""  Gent: Ravensteinstraat, bouwaanvraag van Jan Denis Brismaille, 1776""  ";" "" Bouwheer: Brismaille, Jan Denis."" "
"""  Gent: Ravensteinstraat, bouwaanvraag van Guillaume Schamp, 1776""  ";" "" Bouwheer: Schamp, Guillaume."" "
"""  Gent: Recollettenbrug, bouwaanvraag van weduwe Jan de Waele, 1758""  ";" "" Bouwheer: de Waele, Jan weduwe."" "
"""  Gent: Ravensteinstraat, bouwaanvraag van Joan Morel, 1767""  ";" "" Bouwheer: Morel, Joan."" "
"""  Gent: Ravensteinstraat, bouwaanvraag van Kervyn, 1773""  ";" "" Bouwheer: Kervyn."" "
"""  Gent: Rasphuisstraat, bouwaanvraag van Joan Baptiste Wille, 1787""  ";" "" Bouwheer: Wille, Joan Baptiste."" "
"""  Gent: Rasphuisstraat, bouwaanvraag van Anthone Erfvelynck 1788""  ";" "" Bouwheer: Erfvelynck, Anthone."" "
"""  Gent: Rasphuisstraat, bouwaanvraag van Jacobus de Plancke, 1790""  ";" "" Bouwheer: de Plancke, Jacobus."" "
"""  Gent: Rasphuisstraat, bouwaanvraag van Bertholomeus Weymeersch, 1780""  ";" "" Bouwheer: Weymeersch, Bertholomeus."" "
"""  Gent: Rasphuisstraat, bouwaanvraag van Charles Frans Rogiers, 1786""  ";" "" Bouwheer: Rogiers, Charles Frans."" "
"""  Gent: Rasphuisstraat, bouwaanvraag van Francois Mahieu, 1726""  ";" "" Bouwheer: Mahieu, Francois."" "
"""  Gent: Rasphuisstraat, bouwaanvraag van Martinus Versluys, 1754""  ";" "" Bouwheer: Versluys, Martinus."" "
"""  Gent: Rasphuisstraat, bouwaanvraag van het Rijke Gasthuisklooster, 1765""  ";" "" Bouwheer: Rijke Gasthuisklooster."" "
"""  Gent: Ramen, bouwaanvraag van Joannes Bovijn, 1788""  ";" "" Bouwheer: Bovijn, Joannes."" "
"""  Gent: Ramen, bouwaanvraag van Benedictus Roosen, 1794""  ";" "" Bouwheer: Roosen, Benedictus."" "
"""  Gent: Ramen, bouwaanvraag van bouwaanvraag van Emanuel Migom, 1786""  ";" "" Bouwheer: Migom, Emanuel."" "
"""  Gent: Ramen, bouwaanvraag van Anne Bovijn, 1787""  ";" "" Bouwheer: Bovijn, Anne."" "
"""  Gent: Ramen, bouwaanvraag van Joannes Bovijn, 1788""  ";" "" Bouwheer: Bovijn, Joannes."" "
"""  Gent: Ramen, bouwaanvraag van Livinus Pieter Neerman, 1786""  ";" "" Bouwheer: Neerman, Livinus Pieter."" "
"""  Gent: Ramen, bouwaanvraag van Cornelis Meere, 1786""  ";" "" Bouwheer: Meere, Cornelis."" "
"""  Gent: Ramen, bouwaanvraag van Versturme, 1775""  ";" "" Bouwheer: Versturme. Huis gesloopt in 1976 (?)."" "
"""  Gent: Ramen, bouwaanvraag van Benedictus Roosen, 1782""  ";" "" Bouwheer: Roosen, Benedictus."" "
"""  Gent: Ramen, bouwaanvraag van anoniem, 1774""  ";" "" Bouwheer: anoniem."" "
"""  Gent: Ramen, bouwaanvraag van Pieter Servaes, 1774""  ";" "" Bouwheer: Servaes, Pieter."" "
"""  Gent: Ramen, bouwaanvraag van de Coninck, 1774""  ";" "" Bouwheer: de Coninck."" "
"""  Gent: Ramen, bouwaanvraag van Norbert van Haecken, 1758""  ";" "" Bouwheer: van Haecken, Norbert."" "
"""  Gent: Ramen, bouwaanvraag van Servaes, 1772""  ";" "" Bouwheer: Servaes."" "
"""  Gent: Ramen, bouwaanvraag van Christine de Buysschere, 1754""  ";" "" Bouwheer: de Buysschere, Christine."" "
